Provenance,Tool,Software,Vendor,Group,Integration,Band,Comp_or_Neural,X,Y,Recurrence,Inputs,Inference_Locus,Model_Backend,Date_Note,Source_URL,Status,Notes
seed 260413,CAD (SolidWorks),,,,,Explicit,,9.8,1.0,,,,,,,,
seed 260413,Vector (Illustrator),,,,,Explicit,,9.6,1.0,,,,,,,,
seed 260413,BIM (Revit),,,,,Explicit,,9.5,2.0,,,,,,,,
seed 260413,3D Mesh (Blender),,,,,Explicit,,9.2,1.5,,,,,,,,
seed 260413,AE Keyframes,,,,,Explicit,,8.7,3.0,,,,,,,,
seed 260413,Houdini SOP,,,,,Explicit,,8.8,3.5,,,,,,,,
seed 260413,Photoshop Layers,,,,,Explicit,,8.5,2.0,,,,,,,,
seed 260413,Physics Sim (fixed),,,,,Explicit,,8.0,4.0,,,,,,,,
seed 260413,ControlNet Depth,,,,,Conditioned,,6.8,3.0,,,,,,,,
seed 260413,Gaussian Splat (photogrammetry),,,,,Conditioned,,6.5,2.0,,,,,,,,
seed 260413,ControlNet Canny,,,,,Conditioned,,6.5,3.2,,,,,,,,
seed 260413,AI Render from BIM,,,,,Conditioned,,6.2,2.0,,,,,,,,
seed 260413,NeRF (multi-view),,,,,Conditioned,,6.0,2.5,,,,,,,,
seed 260413,OpenPose ControlNet,,,,,Conditioned,,6.0,3.5,,,,,,,,
seed 260413,ControlNet Tile,,,,,Conditioned,,5.8,4.5,,,,,,,,
seed 260413,Img2Img (low denoise),,,,,Conditioned,,5.5,3.0,,,,,,,,
seed 260413,Inpainting (masked),,,,,Conditioned,,4.5,3.5,,,,,,,,
seed 260413,LoRA-guided gen,,,,,Conditioned,,4.0,4.0,,,,,,,,
seed 260413,Image Style Ref,,,,,Conditioned,,3.5,4.0,,,,,,,,
seed 260413,Video Frame Ref,,,,,Conditioned,,3.8,6.5,,,,,,,,
seed 260413,GUI Params (chaos/weird),,,,,Conditioned,,2.5,3.0,,,,,,,,
seed 260413,Generative Fill (PS),,,,,Inferential,,3.0,2.0,,,,,,,,
